micpoint,UD-node,longitude,latitude,orignode
307,49234047,-118.37885,34.05121,49234047
311,49238584,-118.37725,34.06293,49238584
313,49239251,-118.37711,34.08022,49239252
315,49239990,-118.37527,34.08018,49239990
316,49239610,-118.37506,34.06237,49239610
317,49234686,-118.37451,34.05039,49234686
318,49234626,-118.3741,34.04213,49234626
319,49234693,-118.3728,34.05007,49234693
320,49234635,-118.37273,34.04645,49234635
322,49234736,-118.37125,34.05439,49234736
327,49240198,-118.36891,34.09542,49240198
328,49239689,-118.36848,34.06271,49239689
329,49239692,-118.36812,34.06479,49239692
330,49240063,-118.36805,34.08543,49240063
331,49240049,-118.36802,34.08153,49240049
332,49239793,-118.368,34.07428,49239793
333,49234309,-118.36766,34.03044,49234309
334,49242737,-118.36749,34.10059,49242737
335,49240208,-118.36746,34.09437,49240208
336,49239781,-118.36744,34.07056,49239781
337,49234746,-118.36714,34.056,49234746
340,49240285,-118.36591,34.089,49240286
341,49239828,-118.36496,34.06528,49239828
343,49240317,-118.36447,34.09441,49240317
344,49234860,-118.36389,34.05545,49234860
345,49239819,-118.36371,34.06117,49239819
348,49240322,-118.36301,34.09445,49240322
349,49240250,-118.3627,34.0872,49240250
350,49240224,-118.36267,34.07819,49240224
353,49243084,-118.36157,34.10221,337601182
356,49234550,-118.36056,34.02851,49234550
357,49240273,-118.36054,34.08719,49240273
358,49240257,-118.36039,34.07818,49240257
359,49240344,-118.36037,34.09444,49240344
362,49239849,-118.35936,34.06082,49239849
365,49234912,-118.35866,34.0537,49234912
368,49234888,-118.35744,34.05163,49234888
369,49240280,-118.3574,34.08536,49240280
371,49240268,-118.35738,34.08179,49240268
372,811126884,-118.35737,34.06487,811126884
380,809645171,-118.35631,34.07224,809645171
382,49244424,-118.35568,34.06074,49244424
383,49236956,-118.35542,34.02957,49236956
384,49244814,-118.35501,34.0917,49244814
385,49237457,-118.35486,34.05101,49237457
387,49244759,-118.35427,34.08022,49244759
388,49244838,-118.35393,34.0944,49244838
390,49237370,-118.35357,34.0393,49237370
391,49245687,-118.35289,34.10346,49245687
393,49236899,-118.35201,34.02464,49236899
395,49244849,-118.35175,34.09436,49244849
396,49237477,-118.35162,34.0509,49237477
397,49244480,-118.35147,34.06488,49244480
401,49237393,-118.35127,34.04362,49237393
402,49244767,-118.35112,34.08023,49244767
403,49244583,-118.35107,34.07102,49244583
404,49244577,-118.35104,34.06929,49244577
405,49237546,-118.35056,34.05356,49237546
406,49237031,-118.3499,34.02734,49237031
407,49237408,-118.34947,34.0387,49237408
408,49244791,-118.34868,34.08183,49244791
409,49244802,-118.34868,34.08528,49244802
410,49244787,-118.34867,34.07826,49244787
411,49244616,-118.34865,34.07357,49244616
413,49244501,-118.3478,34.06058,49244501
414,49237557,-118.34768,34.05476,49237557
415,49237414,-118.34744,34.03828,49237414
416,49244874,-118.34717,34.09435,49244874
418,49245714,-118.34677,34.10026,49245714
419,49237558,-118.34659,34.05454,49237558
420,49244500,-118.34649,34.05888,49244500
421,49245911,-118.34556,34.10269,49245911
425,49244897,-118.34521,34.08708,49244897
426,49244878,-118.34518,34.07828,49244878
427,49244642,-118.34515,34.06689,49244642
428,49244714,-118.34513,34.07357,49244714
432,49244626,-118.34422,34.05886,49244626
435,49245915,-118.34336,34.10033,49245915
437,49245948,-118.34331,34.10414,49245948
438,49244884,-118.34295,34.07828,49244884
439,49244652,-118.34293,34.06688,49244652
440,49244718,-118.34292,34.07358,49244718
441,49244964,-118.34284,34.09435,49244964
442,49244903,-118.3428,34.08709,49244903
443,49244888,-118.34278,34.08026,49244888
447,49244954,-118.34163,34.08889,49244954
448,49244958,-118.34163,34.09255,49244958
449,49244966,-118.34153,34.09433,49244966
450,49244635,-118.3413,34.06045,49244635
451,49237577,-118.34098,34.03695,49237577
452,840323038,-118.34076,34.06278,840323038
453,49244658,-118.34067,34.0588,49244658
458,49244995,-118.3405,34.09615,49244995
463,49237705,-118.33977,34.05125,49237705
464,49244934,-118.33969,34.08526,49244934
465,49237636,-118.33889,34.04225,49237636
467,49244670,-118.3381,34.05906,49244670
469,49245004,-118.3375,34.09616,49245004
471,49244941,-118.33741,34.08526,49244941
476,49245140,-118.3348,34.07106,49245140
477,49238190,-118.33472,34.05446,49238190
479,49245028,-118.33289,34.05893,49245028
483,49245053,-118.33156,34.06396,49245053
485,49245362,-118.33106,34.08159,49245362
486,49245439,-118.33104,34.09253,49245439
487,49245432,-118.33101,34.08891,49245432
488,49245378,-118.33096,34.08528,49245378
490,49245477,-118.32989,34.09435,49245477
491,49245488,-118.32949,34.09615,49245488
509,49245586,-118.32447,34.09438,49245586
511,49245591,-118.32375,34.09619,49245591
512,49247802,-118.32375,34.09981,49247802
