LA	subnetwork	OD	with	preload									
345	179	111	5.345791945	0.05	3263.2865591242	3600	1	0	0	0	0	1	1
346	1	161	6.1514316794	0.05	0	163.864292498	1	0	0	0	0	1	1
347	172	112	0.4623592533	0.05	1419.8770917478	3600	1	0	0	0	0	1	1
348	1	161	8.0796310356	0.05	0	187.1372582897	1	0	0	0	0	1	1
349	172	113	0.7642293538	0.05	1621.5363457611	3600	1	0	0	0	0	1	1
350	1	161	7.3792277564	0.05	0	195.1423709286	1	0	0	0	0	1	1
351	179	114	4.0082156337	0.05	3240.73789147	3600	1	0	0	0	0	1	1
352	1	161	29.7683862804	0.05	0	135.4457027675	1	0	0	0	0	1	1
353	172	115	1.6617424538	0.05	1173.6312262021	3600	1	0	0	0	0	1	1
354	1	161	5.5182497502	0.05	0	182.6666145283	1	0	0	0	0	1	1
355	172	116	0.4997021638	0.05	1582.7984086225	3600	1	0	0	0	0	1	1
356	1	161	5.1480559441	0.05	0	146.8515509962	1	0	0	0	0	1	1
357	172	117	0.3248067848	0.05	1272.4624136751	3600	1	0	0	0	0	1	1
358	1	161	3.9581853068	0.05	0	181.9015392662	1	0	0	0	0	1	1
359	179	118	1.2431944187	0.05	3020.8468207685	3600	1	0	0	0	0	1	1
360	1	161	7.8099969871	0.05	0	184.3790724082	1	0	0	0	0	1	1
361	179	119	2.6765367531	0.05	3061.9913220498	3600	1	0	0	0	0	1	1
362	1	161	18.3492063492	0.05	0	156.955017301	1	0	0	0	0	1	1
363	172	120	1.2857191746	0.05	1360.0085174341	3600	1	0	0	0	0	1	1
364	1	161	2.5105240791	0.05	0	143.3963541707	1	0	0	0	0	1	1
365	172	121	0.1527056437	0.05	1242.5232808396	3600	1	0	0	0	0	1	1
366	1	161	9.7572174492	0.05	0	154.9622121132	1	0	0	0	0	1	1
367	172	122	0.6698389346	0.05	1342.7409456439	3600	1	0	0	0	0	1	1
368	1	161	18.4388766789	0.05	0	156.1917274114	1	0	0	0	0	1	1
369	172	123	1.2819340928	0.05	1353.3946431599	3600	1	0	0	0	0	1	1
370	1	161	4.5893026973	0.05	0	164.7309079099	1	0	0	0	0	1	1
371	172	124	0.3479679761	0.05	1427.3862772568	3600	1	0	0	0	0	1	1
372	1	161	6.0575318015	0.05	0	166.4044090937	1	0	0	0	0	1	1
373	172	125	0.4670747286	0.05	1441.8870934971	3600	1	0	0	0	0	1	1
374	1	161	6.8511515152	0.05	0	147.1285517144	1	0	0	0	0	1	1
375	172	126	0.4335227697	0.05	1274.8626130601	3600	1	0	0	0	0	1	1
376	1	161	1.6573060273	0.05	0	152.0539935582	1	0	0	0	0	1	1
377	172	128	0.1104072578	0.05	1317.5413561481	3600	1	0	0	0	0	1	1
378	1	161	1.5861949162	0.05	0	158.8707651419	1	0	0	0	0	1	1
379	172	131	0.1133403576	0.05	1376.6083906052	3600	1	0	0	0	0	1	1
