Mic_Zone_ID,TAZ_ID,attr,,,,,,,,
464,20950000,0,,,,,,,,
465,20942000,0,,,,,,,,
466,20941000,0,,,,,,,,
467,20951000,0,,,,,,,,
468,20955000,0,,,,,,,,
469,20953000,0,,,,,,,,
470,21206000,0,,,,,,,,
471,20950000,0,,,,,,,,
472,20643000,0,,,,,,,,
473,20634000,0,,,,,,,,
474,20946000,0,,,,,,,,
475,20967000,0,,,,,,,,
476,20949000,0,,,,,,,,
477,20951000,0,,,,,,,,
478,20965000,0,,,,,,,,
479,20973000,0,,,,,,,,
480,20955000,0,,,,,,,,
481,20946000,0,,,,,,,,
482,20967000,0,,,,,,,,
483,20956000,0,,,,,,,,
484,20633000,0,,,,,,,,
485,20966000,0,,,,,,,,
486,20970000,0,,,,,,,,
487,20969000,0,,,,,,,,
488,20968000,0,,,,,,,,
489,20639000,0,,,,,,,,
490,20970000,0,,,,,,,,
491,20970000,0,,,,,,,,
492,20955000,0,,,,,,,,
493,20972000,0,,,,,,,,
494,20636000,0,,,,,,,,
495,20961000,0,,,,,,,,
496,21214000,0,,,,,,,,
497,20966000,0,,,,,,,,
498,20960000,0,,,,,,,,
499,20973000,0,,,,,,,,
500,20971000,0,,,,,,,,
501,21206000,0,,,,,,,,
502,20955000,0,,,,,,,,
503,20955000,0,,,,,,,,
504,20974000,0,,,,,,,,
505,20966000,0,,,,,,,,
506,20976000,0,,,,,,,,
507,20973000,0,,,,,,,,
508,20975000,0,,,,,,,,
509,20970000,0,,,,,,,,
510,20640000,0,,,,,,,,
511,20970000,0,,,,,,,,
512,20984000,0,,,,,,,,
513,20977000,0,,,,,,,,
514,20964000,0,,,,,,,,
515,20967000,0,,,,,,,,
516,20972000,0,,,,,,,,
517,20962000,0,,,,,,,,
518,20965000,0,,,,,,,,
519,20956000,0,,,,,,,,
520,21224000,0,,,,,,,,
521,20982000,0,,,,,,,,
522,21219000,0,,,,,,,,
523,20983000,0,,,,,,,,
524,21213000,0,,,,,,,,
525,20987000,0,,,,,,,,
526,20991000,0,,,,,,,,
527,20980000,0,,,,,,,,
528,20972000,0,,,,,,,,
529,20985000,0,,,,,,,,
530,20987000,0,,,,,,,,
531,20979000,0,,,,,,,,
532,20988000,0,,,,,,,,
533,20991000,0,,,,,,,,
534,20982000,0,,,,,,,,
535,20986000,0,,,,,,,,
536,21224000,0,,,,,,,,
537,20996000,0,,,,,,,,
538,20972000,0,,,,,,,,
539,20980000,0,,,,,,,,
540,21014000,0,,,,,,,,
541,20639000,0,,,,,,,,
542,20985000,0,,,,,,,,
543,21013000,0,,,,,,,,
544,20996000,0,,,,,,,,
545,20638000,0,,,,,,,,
546,21005000,0,,,,,,,,
547,21005000,0,,,,,,,,
548,21003000,0,,,,,,,,
549,21226000,0,,,,,,,,
550,20999000,0,,,,,,,,
551,20994000,0,,,,,,,,
552,21002000,0,,,,,,,,
553,21008000,0,,,,,,,,
554,20992000,0,,,,,,,,
555,20996000,0,,,,,,,,
556,20997000,0,,,,,,,,
557,20993000,0,,,,,,,,
558,20991000,0,,,,,,,,
559,21008000,0,,,,,,,,
560,20991000,0,,,,,,,,
561,21007000,0,,,,,,,,
562,21011000,0,,,,,,,,
563,21011000,0,,,,,,,,
564,20996000,0,,,,,,,,
565,20995000,0,,,,,,,,
566,21002000,0,,,,,,,,
567,20991000,0,,,,,,,,
568,20997000,0,,,,,,,,
569,20997000,0,,,,,,,,
570,20993000,0,,,,,,,,
571,21224000,0,,,,,,,,
572,21034000,0,,,,,,,,
573,21018000,0,,,,,,,,
574,21017000,0,,,,,,,,
575,21026000,0,,,,,,,,
576,21023000,0,,,,,,,,
